ticker,market,industry
6776,スタンダード（内国株式）,化学
8346,プライム（内国株式）,銀行業
9445,スタンダード（内国株式）,情報・通信業
6061,スタンダード（内国株式）,サービス業
8115,スタンダード（内国株式）,卸売業
8242,プライム（内国株式）,小売業
5803,プライム（内国株式）,非鉄金属
7949,プライム（内国株式）,その他製品
7721,プライム（内国株式）,精密機器
6463,プライム（内国株式）,機械
3482,プライム（内国株式）,不動産業
2796,スタンダード（内国株式）,小売業
1897,スタンダード（内国株式）,建設業
6877,スタンダード（内国株式）,電気機器
6090,スタンダード（内国株式）,サービス業
8015,プライム（内国株式）,卸売業
8522,プライム（内国株式）,銀行業
1808,プライム（内国株式）,建設業
9733,スタンダード（内国株式）,サービス業
4452,プライム（内国株式）,化学
6806,プライム（内国株式）,電気機器
9273,プライム（内国株式）,卸売業
8362,プライム（内国株式）,銀行業
8152,スタンダード（内国株式）,卸売業
8129,プライム（内国株式）,卸売業
1301,プライム（内国株式）,水産・農林業
4392,プライム（内国株式）,情報・通信業
1418,スタンダード（内国株式）,建設業
4755,プライム（内国株式）,サービス業
6543,スタンダード（内国株式）,サービス業
2108,プライム（内国株式）,食料品
4777,スタンダード（内国株式）,情報・通信業
3954,スタンダード（内国株式）,パルプ・紙
7893,プライム（内国株式）,その他製品
6656,スタンダード（内国株式）,電気機器
7795,スタンダード（内国株式）,その他製品
7222,スタンダード（内国株式）,輸送用機器
6113,プライム（内国株式）,機械
6361,プライム（内国株式）,機械
2790,スタンダード（内国株式）,小売業
9347,プライム（内国株式）,サービス業
3538,スタンダード（内国株式）,小売業
6929,プライム（内国株式）,電気機器
7713,スタンダード（内国株式）,精密機器
4752,スタンダード（内国株式）,情報・通信業
3981,スタンダード（内国株式）,情報・通信業
8364,プライム（内国株式）,銀行業
1979,プライム（内国株式）,建設業
6037,スタンダード（内国株式）,サービス業
4208,プライム（内国株式）,化学
7354,スタンダード（内国株式）,サービス業
5351,プライム（内国株式）,ガラス・土石製品
5021,プライム（内国株式）,石油・石炭製品
8927,スタンダード（内国株式）,不動産業
8136,プライム（内国株式）,卸売業
4623,スタンダード（内国株式）,化学
6564,プライム（内国株式）,サービス業
6269,プライム（内国株式）,機械
4188,プライム（内国株式）,化学
5741,プライム（内国株式）,非鉄金属
3513,スタンダード（内国株式）,繊維製品
9856,スタンダード（内国株式）,小売業
6849,プライム（内国株式）,電気機器
7208,スタンダード（内国株式）,輸送用機器
9755,プライム（内国株式）,サービス業
5830,プライム（内国株式）,銀行業
7616,プライム（内国株式）,小売業
7087,スタンダード（内国株式）,サービス業
2673,スタンダード（内国株式）,小売業
3840,スタンダード（内国株式）,情報・通信業
6659,スタンダード（内国株式）,電気機器
9308,スタンダード（内国株式）,海運業
7065,スタンダード（内国株式）,サービス業
9367,スタンダード（内国株式）,倉庫・運輸関連業
8276,プライム（内国株式）,小売業
2493,スタンダード（内国株式）,サービス業
9001,プライム（内国株式）,陸運業
8591,プライム（内国株式）,その他金融業
2664,プライム（内国株式）,小売業
2475,プライム（内国株式）,サービス業
2436,スタンダード（内国株式）,サービス業
4549,プライム（内国株式）,医薬品
3174,スタンダード（内国株式）,小売業
8020,プライム（内国株式）,卸売業
7199,プライム（内国株式）,その他金融業
8616,プライム（内国株式）,証券、商品先物取引業
3816,スタンダード（内国株式）,情報・通信業
7261,プライム（内国株式）,輸送用機器
9845,スタンダード（内国株式）,化学
7366,プライム（内国株式）,サービス業
6701,プライム（内国株式）,電気機器
6912,スタンダード（内国株式）,電気機器
2206,プライム（内国株式）,食料品
