code,disc_date,disc_time,disc_no,doc_type,per_type,fy_end,equity,np_forecast,shares_out
1301,2024-02-02,11:30:00,20240122517667,3QFinancialStatements_Consolidated_JP,3Q,2024-03-31,53257000000,5500000000,10928283
1301,2024-02-02,11:30:00,20240201524669,DividendForecastRevision,FY,2024-03-31,,,
1301,2024-02-02,11:30:00,20240201524915,EarnForecastRevision,FY,2024-03-31,,5500000000,
1301,2024-05-10,11:30:00,20240417572020,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,58860000000,7000000000,12078283
1301,2024-05-10,14:45:00,20240510589311,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,58860000000,7000000000,12078283
1301,2024-08-05,11:30:00,20240717550524,1QFinancialStatements_Consolidated_JP,1Q,2025-03-31,60668000000,7000000000,12078283
1301,2024-11-06,11:00:00,20241105512001,2QFinancialStatements_Consolidated_JP,2Q,2025-03-31,61731000000,7000000000,12078283
1301,2025-02-03,11:30:00,20250131560451,3QFinancialStatements_Consolidated_JP,3Q,2025-03-31,66606000000,7000000000,12078283
1301,2025-05-12,11:00:00,20250509539155,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,68355000000,8200000000,12078283
1301,2025-08-04,11:30:00,20250801527870,1QFinancialStatements_Consolidated_JP,1Q,2026-03-31,70044000000,8200000000,12078283
1301,2025-11-04,11:30:00,20251031585512,2QFinancialStatements_Consolidated_JP,2Q,2026-03-31,71992000000,8200000000,12078283
1301,2026-02-06,11:30:00,20260205548742,3QFinancialStatements_Consolidated_JP,3Q,2026-03-31,75639000000,6700000000,12078283
1301,2026-05-15,11:30:00,20260514535861,FYFinancialStatements_Consolidated_JP,FY,2026-03-31,78868000000,7200000000,12078283
1301,2026-08-07,11:30:00,20260806512043,1QFinancialStatements_Consolidated_JP,1Q,2027-03-31,79978000000,7200000000,12078283
1418,2016-10-11,16:00,20161007409055,EarnForecastRevision,2Q,2017-02-28,,,
1418,2016-10-12,16:00,20161011410601,2QFinancialStatements_Consolidated_JP,2Q,2017-02-28,4399000000,100000000,20010529
1418,2017-01-13,16:00,20170112472644,3QFinancialStatements_Consolidated_JP,3Q,2017-02-28,4448000000,100000000,20010529
1418,2017-04-07,16:00,20170406436633,EarnForecastRevision,FY,2017-02-28,,72000000,
1418,2017-04-12,16:00,20170411439727,FYFinancialStatements_Consolidated_JP,FY,2017-02-28,4447000000,120000000,20010529
1418,2017-07-11,16:00,20170707427443,EarnForecastRevision,2Q,2018-02-28,,,
1418,2017-07-12,16:00,20170711429522,1QFinancialStatements_Consolidated_JP,1Q,2018-02-28,4506000000,120000000,20010529
1418,2017-10-11,16:00,20171010487738,EarnForecastRevision,2Q,2018-02-28,,,
1418,2017-10-12,16:00,20171011488560,2QFinancialStatements_Consolidated_JP,2Q,2018-02-28,4535000000,120000000,20010529
1418,2018-01-12,16:00,20180111449302,3QFinancialStatements_Consolidated_JP,3Q,2018-02-28,4410000000,120000000,20010529
1418,2018-03-27,18:00,20180326497652,EarnForecastRevision,FY,2018-02-28,,-231000000,
1418,2018-04-11,16:00:00,20180411409220,FYFinancialStatements_Consolidated_JP,FY,2018-02-28,4028000000,40000000,20010529
1418,2018-07-11,16:00:00,20180710479379,1QFinancialStatements_Consolidated_JP,1Q,2019-02-28,3881000000,40000000,20010529
1418,2018-10-11,16:00:00,20181010416207,2QFinancialStatements_Consolidated_JP,2Q,2019-02-28,3901000000,40000000,20010529
1418,2019-01-11,16:00:00,20190110458717,3QFinancialStatements_Consolidated_JP,3Q,2019-02-28,3991000000,40000000,20010529
1418,2019-03-26,18:00:00,20190325494907,EarnForecastRevision,FY,2019-02-28,,-69000000,
1418,2019-04-12,16:00:00,20190411403598,FYFinancialStatements_Consolidated_JP,FY,2019-02-28,3955000000,40000000,20010529
1418,2019-07-12,16:00:00,20190711470777,1QFinancialStatements_Consolidated_JP,1Q,2020-02-29,3939000000,40000000,20010529
1418,2019-10-11,16:00:00,20191010406993,2QFinancialStatements_Consolidated_JP,2Q,2020-02-29,3783000000,40000000,20010529
1418,2020-01-14,16:00:00,20200114446588,3QFinancialStatements_Consolidated_JP,3Q,2020-02-29,3779000000,40000000,20010529
1418,2020-03-24,17:00:00,20200324483033,EarnForecastRevision,FY,2020-02-29,,108000000,
1418,2020-04-13,16:00:00,20200410492546,FYFinancialStatements_Consolidated_JP,FY,2020-02-29,3799000000,150000000,20010529
1418,2020-07-13,16:00:00,20200710460828,1QFinancialStatements_Consolidated_JP,1Q,2021-02-28,3965000000,150000000,20010529
1418,2020-10-13,16:00:00,20201012402574,2QFinancialStatements_Consolidated_JP,2Q,2021-02-28,4024000000,150000000,20010529
1418,2021-01-13,16:00:00,20210112443180,EarnForecastRevision,FY,2021-02-28,,100000000,
1418,2021-01-13,16:00:00,20210112443207,3QFinancialStatements_Consolidated_JP,3Q,2021-02-28,3934000000,100000000,20010529
1418,2021-03-30,16:00:00,20210329485838,EarnForecastRevision,FY,2021-02-28,,100000000,
1418,2021-04-13,16:00:00,20210412493242,FYFinancialStatements_Consolidated_JP,FY,2021-02-28,3845000000,100000000,20010529
1418,2021-07-13,16:00:00,20210712465287,1QFinancialStatements_Consolidated_JP,1Q,2022-02-28,3717000000,100000000,20010529
1418,2021-10-13,16:00:00,20211012409567,2QFinancialStatements_Consolidated_JP,2Q,2022-02-28,3809000000,100000000,20010529
1418,2022-01-13,16:00:00,20220111565612,EarnForecastRevision,FY,2022-02-28,,70000000,
1418,2022-01-13,16:00:00,20220112566866,3QFinancialStatements_Consolidated_JP,3Q,2022-02-28,3701000000,70000000,20010529
1418,2022-03-29,16:00:00,20220328512126,EarnForecastRevision,FY,2022-02-28,,71000000,
1418,2022-04-13,16:30:00,20220413521236,FYFinancialStatements_Consolidated_JP,FY,2022-02-28,3917000000,100000000,20010529
1418,2022-07-13,16:00:00,20220712598518,1QFinancialStatements_Consolidated_JP,1Q,2023-02-28,3208000000,100000000,20010529
1418,2022-10-13,16:00:00,20221012543347,2QFinancialStatements_Consolidated_JP,2Q,2023-02-28,3190000000,100000000,20010529
1418,2023-01-13,16:00:00,20230112588163,3QFinancialStatements_Consolidated_JP,3Q,2023-02-28,3107000000,100000000,20010529
