signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-26,5020,ENEOS,0.5785535349386215,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1211.0,1211.36,1197.0,1196.64,1211.36,1196.64,-3636,-1.22,0.0,TIME
2026-06-29,5020,ENEOS,0.7496615980423343,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1208.0,1208.36,1205.5,1205.14,1208.36,1205.14,-799,-0.27,0.0,TIME
2026-06-30,5020,ENEOS,0.2604071374093711,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1206.0,1206.36,1219.5,1219.13,1206.36,1219.13,3167,1.06,0.0,TIME
2026-07-01,5020,ENEOS,0.4682117393322525,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1203.0,1203.36,1221.0,1220.63,1203.36,1220.63,4300,1.44,0.0,TIME
2026-07-02,5020,ENEOS,0.3755856925264443,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1230.0,1230.37,1260.0,1259.62,1230.37,1259.62,7108,2.38,0.0,TIME
2026-07-07,5020,ENEOS,0.1749210619008976,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1248.0,1248.37,1256.0,1255.62,1248.37,1255.62,1739,0.58,0.0,TIME
2026-07-09,5020,ENEOS,0.6132144782981223,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
2026-07-10,5020,ENEOS,0.2813100316986343,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
