signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-23,4689,LINEヤフー,0.176279056062249,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,412.0,412.12,409.7,409.58,412.12,409.58,-1851,-0.62,0.0,TIME
2026-06-24,4689,LINEヤフー,0.3290656487121431,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,409.2,409.32,410.0,409.88,409.32,409.88,405,0.14,0.0,TIME
2026-06-25,4689,LINEヤフー,0.1533858412908778,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,410.0,410.12,423.5,423.37,410.12,423.37,9685,3.23,0.0,TIME
2026-06-29,4689,LINEヤフー,0.2018395869583621,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,436.5,436.63,426.6,426.47,436.63,426.47,-6979,-2.33,0.0,TIME
2026-06-30,4689,LINEヤフー,0.384147660311098,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,430.1,430.23,436.0,435.87,430.23,435.87,3931,1.31,0.0,TIME
2026-07-01,4689,LINEヤフー,0.4426221206190439,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,432.3,432.43,438.2,438.07,432.43,438.07,3907,1.3,0.0,TIME
2026-07-02,4689,LINEヤフー,0.1546172143766236,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,444.0,444.13,438.7,438.57,444.13,438.57,-3756,-1.25,0.0,TIME
2026-07-06,4689,LINEヤフー,0.15181580298896957,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
