signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-23,9432,NTT,0.1593786905474092,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,143.5,143.54,143.8,143.76,143.54,143.76,446,0.15,0.0,TIME
2026-06-24,9432,NTT,0.3404784341022969,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,145.0,145.04,144.3,144.26,145.04,144.26,-1627,-0.54,0.0,TIME
2026-06-25,9432,NTT,0.4166117665489088,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,143.1,143.14,146.0,145.96,143.14,145.96,5893,1.97,0.0,TIME
2026-07-01,9432,NTT,0.2247821729058464,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,143.8,143.84,146.1,146.06,143.84,146.06,4614,1.54,0.0,TIME
2026-07-06,9432,NTT,0.1775787001363299,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,147.5,147.54,149.5,149.46,147.54,149.46,3884,1.3,0.0,TIME
