signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-23,1570,日経レバ,0.7190042063006036,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,78500.0,78523.55,84770.0,84744.57,78523.55,84744.57,18663,7.92,0.0,TIME
2026-06-24,1570,日経レバ,0.3611660157521075,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,81670.0,81694.5,77609.78,77532.17,81694.5,77532.17,-12487,-5.1,0.0,STOP
2026-06-25,1570,日経レバ,0.4773550601142764,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,81770.0,81794.53,77704.8,77627.1,81794.53,77627.1,-12502,-5.1,0.0,STOP
2026-06-26,1570,日経レバ,0.2289711381643588,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,78440.0,78463.53,79510.0,79486.15,78463.53,79486.15,3067,1.3,0.0,TIME
2026-06-29,1570,日経レバ,0.7627449908213623,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,79850.0,79873.96,80090.0,80065.97,79873.96,80065.97,576,0.24,0.0,TIME
2026-06-30,1570,日経レバ,0.7232849021248128,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,82300.0,82324.69,78208.46,78130.25,82324.69,78130.25,-12583,-5.1,0.0,STOP
2026-07-02,1570,日経レバ,0.6627665880187843,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,75410.0,75432.62,78500.0,78476.45,75432.62,78476.45,9131,4.04,0.0,TIME
2026-07-03,1570,日経レバ,0.5805826519587105,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
2026-07-06,1570,日経レバ,0.7625583169634219,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
