signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason
2026-06-24,7267,本田技研工業,0.1879117646997914,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1398.0,1398.42,1449.5,1449.07,1398.42,1449.07,10838,3.62,0.0,TIME
2026-06-25,7267,本田技研工業,0.1782807116856911,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1421.5,1421.93,1476.0,1475.56,1421.93,1475.56,11262,3.77,0.0,TIME
2026-06-26,7267,本田技研工業,0.1889598383528827,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1468.5,1468.94,1480.0,1479.56,1468.94,1479.56,2165,0.72,0.0,TIME
2026-07-01,7267,本田技研工業,0.1720229229621094,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1484.0,1484.45,1550.0,1549.54,1484.45,1549.54,13148,4.38,0.0,TIME
2026-07-07,7267,本田技研工業,0.1679305487382414,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1550.5,1550.97,1502.0,1501.55,1550.97,1501.55,-9537,-3.19,0.0,TIME
2026-07-08,7267,本田技研工業,0.3036959191107209,0.15,2,5.0,0.03,0.03,0.1,0.0,DONE,1510.0,1510.45,1495.5,1495.05,1510.45,1495.05,-3049,-1.02,0.0,TIME
2026-07-09,7267,本田技研工業,0.9352709245165952,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
2026-07-10,7267,本田技研工業,0.3955256920525779,0.15,2,5.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,
